layer,neuron,label,flips,precision,recall,F1
18,0,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,4,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,20,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,36,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,51,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,58,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,60,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,93,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,94,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,95,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,120,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,133,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,134,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,140,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,146,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,151,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,152,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,156,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,157,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,160,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,172,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,187,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,210,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,236,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,254,animals,1,1.0,0.0004430660168365,0.0008857395925597
18,25,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
18,885,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
19,1018,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
20,400,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
20,569,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
20,619,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,140,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,310,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,313,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,656,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,719,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,908,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,997,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
21,1017,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
22,642,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
23,38,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
23,170,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
23,453,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
23,543,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
23,746,business_companies,1,1.0,0.0032154340836012,0.0064102564102564
19,22,business_companies,1,0.5,0.0032154340836012,0.0063897763578274
19,166,business_companies,1,0.5,0.0032154340836012,0.0063897763578274
19,861,business_companies,1,0.5,0.0032154340836012,0.0063897763578274
20,423,business_companies,1,0.5,0.0032154340836012,0.0063897763578274
20,489,business_companies,1,0.5,0.0032154340836012,0.0063897763578274
18,243,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
18,880,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
19,126,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
19,316,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
20,506,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
21,292,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
21,455,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
22,709,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
22,788,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
23,279,chemistry,1,1.0,0.0057142857142857,0.0113636363636363
18,395,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
18,761,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
18,775,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
19,240,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
19,631,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
19,308,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
19,586,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
20,308,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
20,58,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
20,183,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
21,983,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
21,272,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
21,543,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
21,16,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
21,274,chemistry,1,0.5,0.0057142857142857,0.0112994350282485
22,452,culture,1,0.25,0.25,0.25
23,431,culture,1,0.2,0.25,0.2222222222222222
23,975,culture,1,0.0909090909090909,0.25,0.1333333333333333
23,757,culture,1,0.0434782608695652,0.25,0.074074074074074
22,93,earth_science,1,1.0,0.0416666666666666,0.0799999999999999
23,871,earth_science,1,1.0,0.0416666666666666,0.0799999999999999
22,312,earth_science,1,0.5,0.0416666666666666,0.0769230769230769
23,25,earth_science,1,0.5,0.0416666666666666,0.0769230769230769
23,117,earth_science,1,0.5,0.0416666666666666,0.0769230769230769
23,461,earth_science,1,0.3333333333333333,0.0416666666666666,0.074074074074074
23,965,earth_science,1,0.3333333333333333,0.0416666666666666,0.074074074074074
22,935,earth_science,1,0.25,0.0416666666666666,0.0714285714285714
23,816,earth_science,1,0.25,0.0416666666666666,0.0714285714285714
23,89,earth_science,1,0.25,0.0416666666666666,0.0714285714285714
23,420,earth_science,1,0.2,0.0416666666666666,0.0689655172413793
23,265,earth_science,1,0.2,0.0416666666666666,0.0689655172413793
22,916,earth_science,1,0.1666666666666666,0.0416666666666666,0.0666666666666666
23,93,earth_science,1,0.1666666666666666,0.0416666666666666,0.0666666666666666
23,750,earth_science,1,0.1666666666666666,0.0416666666666666,0.0666666666666666
23,823,earth_science,1,0.1666666666666666,0.0416666666666666,0.0666666666666666
23,614,earth_science,1,0.1428571428571428,0.0416666666666666,0.064516129032258
23,30,earth_science,1,0.1428571428571428,0.0416666666666666,0.064516129032258
22,193,earth_science,1,0.125,0.0416666666666666,0.0625
23,817,earth_science,1,0.125,0.0416666666666666,0.0625
23,658,earth_science,1,0.0909090909090909,0.0416666666666666,0.0571428571428571
22,658,earth_science,1,0.0714285714285714,0.0416666666666666,0.0526315789473684
23,873,earth_science,1,0.0384615384615384,0.0416666666666666,0.04
22,499,earth_science,1,0.0294117647058823,0.0416666666666666,0.0344827586206896
22,112,economics,1,0.3333333333333333,0.1,0.1538461538461538
23,934,economics,1,0.25,0.1,0.1428571428571428
23,1020,economics,1,0.25,0.1,0.1428571428571428
22,113,economics,1,0.1666666666666666,0.1,0.125
23,708,economics,1,0.1666666666666666,0.1,0.125
23,104,economics,1,0.125,0.1,0.1111111111111111
23,581,economics,1,0.0833333333333333,0.1,0.0909090909090909
22,499,economics,2,0.0588235294117647,0.2,0.0909090909090909
23,873,economics,1,0.0384615384615384,0.1,0.0555555555555555
19,279,education,1,1.0,0.0079365079365079,0.0157480314960629
19,357,education,1,1.0,0.0079365079365079,0.0157480314960629
20,262,education,1,1.0,0.0079365079365079,0.0157480314960629
20,395,education,1,1.0,0.0079365079365079,0.0157480314960629
20,668,education,1,1.0,0.0079365079365079,0.0157480314960629
21,42,education,1,1.0,0.0079365079365079,0.0157480314960629
21,252,education,1,1.0,0.0079365079365079,0.0157480314960629
21,461,education,1,1.0,0.0079365079365079,0.0157480314960629
21,495,education,1,1.0,0.0079365079365079,0.0157480314960629
21,995,education,1,1.0,0.0079365079365079,0.0157480314960629
22,66,education,1,1.0,0.0079365079365079,0.0157480314960629
23,341,education,1,1.0,0.0079365079365079,0.0157480314960629
23,892,education,1,1.0,0.0079365079365079,0.0157480314960629
19,967,education,1,0.5,0.0079365079365079,0.015625
19,645,education,1,0.5,0.0079365079365079,0.015625
20,346,education,1,0.5,0.0079365079365079,0.015625
20,491,education,1,0.5,0.0079365079365079,0.015625
20,648,education,1,0.5,0.0079365079365079,0.015625
20,429,education,1,0.5,0.0079365079365079,0.015625
20,257,education,1,0.5,0.0079365079365079,0.015625
20,281,education,1,0.5,0.0079365079365079,0.015625
20,693,education,1,0.5,0.0079365079365079,0.015625
20,821,education,1,0.5,0.0079365079365079,0.015625
21,245,education,1,0.5,0.0079365079365079,0.015625
21,444,education,1,0.5,0.0079365079365079,0.015625
20,79,environment,1,1.0,0.0116279069767441,0.0229885057471264
22,898,environment,1,1.0,0.0116279069767441,0.0229885057471264
22,979,environment,1,1.0,0.0116279069767441,0.0229885057471264
18,460,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,362,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,751,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,677,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,754,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,797,environment,1,0.5,0.0116279069767441,0.0227272727272727
21,940,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,369,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,735,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,236,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,584,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,808,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,878,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,1005,environment,1,0.5,0.0116279069767441,0.0227272727272727
22,38,environment,1,0.5,0.0116279069767441,0.0227272727272727
23,932,environment,1,0.5,0.0116279069767441,0.0227272727272727
20,78,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
21,375,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
21,612,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
21,644,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
21,792,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
22,462,environment,1,0.3333333333333333,0.0116279069767441,0.0224719101123595
18,168,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,383,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,542,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,595,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,764,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,812,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,829,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,971,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,59,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,82,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,104,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,222,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,284,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,308,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,356,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,397,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,568,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,643,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,660,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,720,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,817,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,821,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,860,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
18,972,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
19,168,film_tv,1,1.0,0.0005966587112171,0.0011926058437686
23,34,finance,1,0.5,0.0666666666666666,0.1176470588235294
21,395,finance,1,0.3333333333333333,0.0666666666666666,0.1111111111111111
22,910,finance,1,0.3333333333333333,0.0666666666666666,0.1111111111111111
22,165,finance,1,0.25,0.0666666666666666,0.1052631578947368
23,584,finance,1,0.25,0.0666666666666666,0.1052631578947368
22,78,finance,1,0.2,0.0666666666666666,0.1
20,771,finance,1,0.125,0.0666666666666666,0.0869565217391304
23,173,finance,1,0.1111111111111111,0.0666666666666666,0.0833333333333333
23,233,finance,1,0.1111111111111111,0.0666666666666666,0.0833333333333333
23,172,finance,1,0.0909090909090909,0.0666666666666666,0.0769230769230769
22,238,finance,1,0.0833333333333333,0.0666666666666666,0.074074074074074
23,230,finance,1,0.0769230769230769,0.0666666666666666,0.0714285714285714
23,1023,finance,1,0.0714285714285714,0.0666666666666666,0.0689655172413793
23,529,finance,1,0.0526315789473684,0.0666666666666666,0.0588235294117647
23,873,finance,1,0.0384615384615384,0.0666666666666666,0.048780487804878
23,128,food_cooking,1,0.0833333333333333,0.5,0.1428571428571428
23,757,food_cooking,1,0.0434782608695652,0.5,0.08
19,677,history,1,1.0,0.0021008403361344,0.0041928721174004
19,432,history,1,1.0,0.0021008403361344,0.0041928721174004
19,632,history,1,1.0,0.0021008403361344,0.0041928721174004
19,756,history,1,1.0,0.0021008403361344,0.0041928721174004
20,813,history,1,1.0,0.0021008403361344,0.0041928721174004
20,928,history,1,1.0,0.0021008403361344,0.0041928721174004
20,408,history,1,1.0,0.0021008403361344,0.0041928721174004
20,689,history,1,1.0,0.0021008403361344,0.0041928721174004
20,520,history,1,1.0,0.0021008403361344,0.0041928721174004
21,286,history,1,1.0,0.0021008403361344,0.0041928721174004
21,308,history,1,1.0,0.0021008403361344,0.0041928721174004
21,976,history,1,1.0,0.0021008403361344,0.0041928721174004
22,542,history,1,1.0,0.0021008403361344,0.0041928721174004
22,924,history,1,1.0,0.0021008403361344,0.0041928721174004
22,966,history,1,1.0,0.0021008403361344,0.0041928721174004
22,489,history,1,1.0,0.0021008403361344,0.0041928721174004
22,618,history,1,1.0,0.0021008403361344,0.0041928721174004
